Location,Sub-location,Pokemon,D,P,Pt,Method,Levels,Morning Rate,Day Rate,Night Rate
Route 208,N/A,seviper,True,True,False,Dual-slot Sapphire,18,8%,8%,8%
Route 208,N/A,seviper,False,False,True,Dual-slot Sapphire,20,8%,8%,8%
Route 209,N/A,zubat,True,True,False,Grass,16,0%,0%,10%
Route 209,N/A,zubat,False,False,True,Grass,19,0%,0%,10%
Route 209,N/A,gastly,True,True,False,Grass,16,0%,0%,10%
Route 209,N/A,chansey,True,True,False,Grass,16,5%,5%,5%
Route 209,N/A,chansey,False,False,True,Grass,"17, 19",5%,5%,5%
Route 209,N/A,ralts,False,False,True,Grass,17-19,20%,20%,10%
Route 209,N/A,roselia,False,False,True,Grass,19-20,25%,25%,25%
Route 209,N/A,duskull,False,False,True,Grass,17,0%,0%,10%
Route 209,N/A,starly,True,True,False,Grass,16,20%,20%,20%
Route 209,N/A,staravia,True,True,False,Grass,16-18,15%,25%,15%
Route 209,N/A,staravia,False,False,True,Grass,18-19,20%,20%,10%
Route 209,N/A,bibarel,True,True,False,Grass,16-18,35%,45%,35%
Route 209,N/A,bibarel,False,False,True,Grass,18-19,30%,30%,30%
Route 209,N/A,bonsly,False,True,False,Grass,16,25%,5%,5%
Route 209,N/A,mime_jr,True,False,False,Grass,16,25%,5%,5%
Route 209,N/A,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Route 209,N/A,psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Route 209,N/A,golduck,True,True,True,Surfing,20-40,10%,10%,10%
Route 209,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 209,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 209,N/A,goldeen,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Route 209,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 209,N/A,seaking,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 209,N/A,seaking,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 209,N/A,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 209,N/A,snubbull,True,True,False,Swarm,16,40%,40%,40%
Route 209,N/A,snubbull,False,False,True,Swarm,18-19,40%,40%,40%
Route 209,N/A,vulpix,True,True,False,Dual-slot LeafGreen,16,8%,8%,8%
Route 209,N/A,vulpix,False,False,True,Dual-slot LeafGreen,"17, 19",8%,8%,8%
Route 209,N/A,tauros,False,True,False,Poké Radar,16,2%,2%,2%
Route 209,N/A,tauros,True,False,False,Poké Radar,17,20%,20%,20%
Route 209,N/A,miltank,False,True,False,Poké Radar,17,20%,20%,20%
Route 209,N/A,miltank,True,False,False,Poké Radar,16,2%,2%,2%
Route 209,N/A,kirlia,False,False,True,Poké Radar,18-19,22%,22%,22%
Route 209,N/A,spiritomb,True,True,True,Only one,25,One,One,One
Route 210,Southern section,geodude,True,True,False,Grass,19,30%,30%,30%
Route 210,Southern section,geodude,False,False,True,Grass,18,20%,20%,20%
Route 210,Southern section,ponyta,True,True,False,Grass,18-20,30%,50%,30%
Route 210,Southern section,ponyta,False,False,True,Grass,19-21,25%,35%,15%
Route 210,Southern section,chansey,True,True,False,Grass,"18, 20",5%,5%,5%
Route 210,Southern section,chansey,False,False,True,Grass,"19, 21",5%,5%,5%
Route 210,Southern section,scyther,False,False,True,Grass,"19, 21",15%,5%,5%
Route 210,Southern section,hoothoot,False,False,True,Grass,20,0%,0%,10%
Route 210,Southern section,noctowl,False,False,True,Grass,21,0%,0%,10%
Route 210,Southern section,roselia,False,False,True,Grass,20-21,15%,15%,15%
Route 210,Southern section,staravia,False,False,True,Grass,19,20%,20%,20%
Route 210,Southern section,kricketune,True,True,False,Grass,18-19,10%,10%,30%
Route 210,Southern section,bonsly,False,True,False,Grass,"18, 20",25%,5%,5%
Route 210,Southern section,mime_jr,True,False,False,Grass,"18, 20",25%,5%,5%
Route 210,Southern section,tauros,True,False,False,Poké Radar,19,20%,20%,20%
Route 210,Southern section,tauros,False,True,False,Poké Radar,20,2%,2%,2%
Route 210,Southern section,tauros,False,False,True,Poké Radar,"19, 21",11%,11%,11%
Route 210,Southern section,pineco,True,True,False,Dual-slot Emerald,"18, 20",8%,8%,8%
Route 210,Southern section,pineco,False,False,True,Dual-slot Emerald,"19, 21",8%,8%,8%
Route 210,Southern section,miltank,True,False,False,Poké Radar,20,2%,2%,2%
Route 210,Southern section,miltank,False,True,False,Poké Radar,19,20%,20%,20%
Route 210,Southern section,miltank,False,False,True,Poké Radar,"20, 21",11%,11%,11%
Route 210,Southern section,seedot,True,True,False,Dual-slot Ruby,18,4%,4%,4%
Route 210,Southern section,seedot,False,False,True,Dual-slot Ruby,21,4%,4%,4%
Route 210,Southern section,nuzleaf,True,True,False,Dual-slot Ruby,20,4%,4%,4%
Route 210,Southern section,nuzleaf,False,False,True,Dual-slot Ruby,19,4%,4%,4%
Route 210,Northern (foggy) section,psyduck,True,True,False,Grass,25,20%,20%,20%
Route 210,Northern (foggy) section,machop,True,True,False,Grass,25-26,20%,20%,10%
Route 210,Northern (foggy) section,machop,False,False,True,Grass,28-29,15%,15%,15%
Route 210,Northern (foggy) section,machoke,True,True,False,Grass,26,10%,10%,10%
Route 210,Northern (foggy) section,machoke,False,False,True,Grass,29-30,10%,10%,10%
Route 210,Northern (foggy) section,scyther,False,False,True,Grass,"27, 29",15%,5%,5%
Route 210,Northern (foggy) section,hoothoot,True,True,False,Grass,24,0%,0%,10%
Route 210,Northern (foggy) section,hoothoot,False,False,True,Grass,27,0%,0%,10%
Route 210,Northern (foggy) section,noctowl,True,True,False,Grass,25,0%,0%,10%
Route 210,Northern (foggy) section,noctowl,False,False,True,Grass,27,0%,0%,10%
Route 210,Northern (foggy) section,meditite,True,True,False,Grass,24-26,30%,30%,20%
Route 210,Northern (foggy) section,meditite,False,False,True,Grass,"27, 29",20%,20%,10%
Route 210,Northern (foggy) section,swablu,False,False,True,Grass,27,20%,30%,20%
Route 210,Northern (foggy) section,bibarel,True,True,False,Grass,24,20%,20%,20%
Route 210,Northern (foggy) section,bibarel,False,False,True,Grass,28,20%,20%,20%
Route 210,Northern (foggy) section,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Route 210,Northern (foggy) section,psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Route 210,Northern (foggy) section,golduck,True,True,True,Surfing,20-40,10%,10%,10%
Route 210,Northern (foggy) section,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 210,Northern (foggy) section,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 210,Northern (foggy) section,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 210,Northern (foggy) section,barboach,True,True,False,Fishing Good Rod,10-25,45%,45%,45%
Route 210,Northern (foggy) section,barboach,False,False,True,Fishing Good Rod,15-20,40%,40%,40%
Route 210,Northern (foggy) section,whiscash,False,False,True,Fishing Good Rod,25-35,5%,5%,5%
Route 210,Northern (foggy) section,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 210,Northern (foggy) section,whiscash,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 210,Northern (foggy) section,whiscash,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 210,Northern (foggy) section,kecleon,True,False,False,Poké Radar,25-26,22%,22%,22%
Route 210,Northern (foggy) section,zangoose,True,True,False,Dual-slot Ruby,26,8%,8%,8%
Route 210,Northern (foggy) section,zangoose,False,False,True,Dual-slot Ruby,29-30,8%,8%,8%
Route 210,Northern (foggy) section,seviper,True,True,False,Dual-slot Sapphire,26,8%,8%,8%
Route 210,Northern (foggy) section,seviper,False,False,True,Dual-slot Sapphire,29-30,8%,8%,8%
Route 210,Northern (foggy) section,bagon,False,True,False,Poké Radar,25-26,22%,22%,22%
Route 210,Northern (foggy) section,bagon,False,False,True,Poké Radar,28-30,22%,22%,22%
Route 211,Western segment,zubat,True,True,False,Grass,12-14,0%,0%,10%
Route 211,Western segment,zubat,False,False,True,Grass,14,0%,0%,10%
Route 211,Western segment,machop,False,False,True,Grass,14-15,15%,15%,15%
Route 211,Western segment,geodude,True,True,False,Grass,13,10%,10%,10%
Route 211,Western segment,ponyta,True,True,False,Grass,13,10%,10%,10%
Route 211,Western segment,hoothoot,True,True,False,Grass,12-14,0%,0%,10%
Route 211,Western segment,hoothoot,False,False,True,Grass,15,0%,0%,10%
Route 211,Western segment,meditite,True,True,False,Grass,12-14,35%,35%,25%
Route 211,Western segment,meditite,False,False,True,Grass,13-15,40%,40%,20%
Route 211,Western segment,bidoof,True,True,False,Grass,12-14,35%,35%,25%
Route 211,Western segment,bidoof,False,False,True,Grass,14,20%,20%,20%
Route 211,Western segment,chingling,True,True,False,Grass,13,10%,10%,10%
Route 211,Western segment,chingling,False,False,True,Grass,14-16,15%,15%,15%
Route 211,Western segment,bronzor,False,False,True,Grass,14-16,10%,10%,10%
Route 211,Western segment,teddiursa,True,True,True,Dual-slot Emerald,12-14,8%,8%,8%
Route 211,Western segment,tyrogue,True,True,True,Poké Radar,13-14,22%,22%,22%
Route 211,Eastern segment,zubat,True,True,False,Grass,26,0%,0%,10%
Route 211,Eastern segment,zubat,False,False,True,Grass,28,0%,0%,10%
Route 211,Eastern segment,machoke,True,True,False,Grass,27-28,20%,20%,10%
Route 211,Eastern segment,machoke,False,False,True,Grass,29-30,15%,15%,15%
Route 211,Eastern segment,graveler,True,True,False,Grass,27,20%,20%,20%
Route 211,Eastern segment,graveler,False,False,True,Grass,28,20%,20%,20%
Route 211,Eastern segment,ponyta,True,True,False,Grass,26-28,15%,15%,5%
Route 211,Eastern segment,noctowl,True,True,False,Grass,28,0%,0%,10%
Route 211,Eastern segment,noctowl,False,False,True,Grass,29,0%,0%,10%
Route 211,Eastern segment,meditite,True,True,False,Grass,27-28,35%,35%,35%
Route 211,Eastern segment,meditite,False,False,True,Grass,27-29,40%,40%,20%
Route 211,Eastern segment,chingling,True,True,False,Grass,27-28,10%,10%,10%
Route 211,Eastern segment,chingling,False,False,True,Grass,28-30,15%,15%,15%
Route 211,Eastern segment,bronzor,False,False,True,Grass,29,10%,10%,10%
Route 211,Eastern segment,teddiursa,True,True,False,Dual-slot Emerald,27,8%,8%,8%
Route 211,Eastern segment,swablu,True,True,False,Poké Radar,27-28,22%,22%,22%
Route 212,Northern area (clear),marill,False,False,True,Grass,21-23,25%,25%,45%
Route 212,Northern area (clear),ralts,False,False,True,Grass,22,0%,10%,0%
Route 212,Northern area (clear),kirlia,False,False,True,Grass,22-24,20%,10%,10%
Route 212,Northern area (clear),roselia,True,True,False,Grass,16-17,15%,15%,15%
Route 212,Northern area (clear),roselia,False,False,True,Grass,22-24,35%,35%,35%
Route 212,Northern area (clear),starly,True,True,False,Grass,16,20%,20%,20%
Route 212,Northern area (clear),staravia,True,True,False,Grass,17-18,15%,25%,5%
Route 212,Northern area (clear),staravia,False,False,True,Grass,21-23,20%,20%,10%
Route 212,Northern area (clear),kricketune,True,True,False,Grass,17-19,20%,10%,30%
Route 212,Northern area (clear),budew,True,True,False,Grass,16,30%,30%,30%
Route 212,Northern area (clear),psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Route 212,Northern area (clear),psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Route 212,Northern area (clear),golduck,True,True,True,Surfing,20-40,10%,10%,10%
Route 212,Northern area (clear),magikarp,True,True,True,Fishing Old Rod,3-15,100%,100%,100%
Route 212,Northern area (clear),goldeen,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Route 212,Northern area (clear),magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 212,Northern area (clear),seaking,True,True,True,Fishing Super Rod,20-55,45%,45%,45%
Route 212,Northern area (clear),gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 212,Northern area (clear),smeargle,True,True,False,Poké Radar,16,22%,22%,22%
Route 212,Northern area (clear),smeargle,False,False,True,Poké Radar,23,22%,22%,22%
Route 212,Southern area (rainy),wooper,True,True,False,Grass,18,30%,30%,30%
Route 212,Southern area (rainy),quagsire,False,False,True,Grass,24-26,30%,30%,30%
Route 212,Southern area (rainy),roselia,True,True,False,Grass,18-20,25%,25%,15%
Route 212,Southern area (rainy),bibarel,True,True,False,Grass,18-20,35%,35%,25%
Route 212,Southern area (rainy),kricketune,True,True,False,Grass,18,10%,10%,30%
Route 212,Southern area (rainy),buizel,False,False,True,Grass,23-25,15%,15%,15%
Route 212,Southern area (rainy),shellos_east sea,False,False,True,Grass,23-26,45%,45%,45%
Route 212,Southern area (rainy),croagunk,False,False,True,Grass,24-25,10%,10%,10%
Route 212,Southern area (rainy),tentacool,False,False,True,Surfing,20-30,30%,30%,30%
Route 212,Southern area (rainy),tentacruel,False,False,True,Surfing,20-40,1%,1%,1%
Route 212,Southern area (rainy),wooper,True,True,False,Surfing,20-40,90%,90%,90%
Route 212,Southern area (rainy),quagsire,True,True,False,Surfing,20-40,10%,10%,10%
Route 212,Southern area (rainy),shellos_east sea,False,False,True,Surfing,20-30,60%,60%,60%
Route 212,Southern area (rainy),gastrodon_east sea,False,False,True,Surfing,20-40,9%,9%,9%
Route 212,Southern area (rainy),magikarp,True,True,True,Fishing Old Rod,3-10,100%,100%,100%
Route 212,Southern area (rainy),magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 212,Southern area (rainy),remoraid,False,False,True,Fishing Good Rod,10-25,45%,45%,45%
Route 212,Southern area (rainy),barboach,True,True,False,Fishing Good Rod,10-25,45%,45%,45%
Route 212,Southern area (rainy),gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 212,Southern area (rainy),octillery,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 212,Southern area (rainy),whiscash,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 212,Southern area (rainy),ekans,True,True,False,Dual-slot FireRed,18-20,8%,8%,8%
Route 212,Southern area (rainy),ekans,False,False,True,Dual-slot FireRed,23-26,8%,8%,8%
Route 212,Southern area (rainy),grimer,True,True,False,Poké Radar,18-20,22%,22%,22%
Route 212,Southern area (rainy),grimer,False,False,True,Poké Radar,24-26,22%,22%,22%
Route 212,Southern area (rainy),lotad,True,True,False,Dual-slot Sapphire,18,4%,4%,4%
Route 212,Southern area (rainy),lotad,False,False,True,Dual-slot Sapphire,23,4%,4%,4%
Route 212,Southern area (rainy),lombre,True,True,False,Dual-slot Sapphire,20,4%,4%,4%
Route 212,Southern area (rainy),lombre,False,False,True,Dual-slot Sapphire,26,4%,4%,4%
Route 213,N/A,wingull,True,True,False,Grass,20,20%,20%,10%
Route 213,N/A,wingull,False,False,True,Grass,24-26,20%,20%,20%
Route 213,N/A,buizel,True,True,False,Grass,20-21,30%,30%,30%
Route 213,N/A,buizel,False,False,True,Grass,23-25,25%,25%,35%
Route 213,N/A,floatzel,True,True,False,Grass,22,10%,10%,10%
Route 213,N/A,shellos_east sea,True,True,False,Grass,20-22,40%,40%,50%
Route 213,N/A,shellos_east sea,False,False,True,Grass,24-26,35%,35%,45%
Route 213,N/A,chatot,False,False,True,Grass,23-25,20%,20%,0%
Route 213,N/A,tentacool,True,True,True,Surfing,20-30,60%,60%,60%
Route 213,N/A,tentacruel,True,True,True,Surfing,20-40,5%,5%,5%
Route 213,N/A,wingull,True,True,True,Surfing,20-30,30%,30%,30%
Route 213,N/A,pelipper,True,True,False,Surfing,20-40,5%,5%,5%
Route 213,N/A,shellos_east sea,False,False,True,Surfing,20-30,4%,4%,4%
Route 213,N/A,gastrodon_east sea,False,False,True,Surfing,20-40,1%,1%,1%
Route 213,N/A,magikarp,True,True,True,Fishing Old Rod,3-10,100%,100%,100%
Route 213,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 213,N/A,remoraid,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Route 213,N/A,gyarados,True,True,False,Fishing Super Rod,30-40,40%,40%,40%
Route 213,N/A,gyarados,False,False,True,Fishing Super Rod,30-55,55%,55%,55%
Route 213,N/A,octillery,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 213,N/A,octillery,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 213,N/A,sharpedo,True,True,False,Fishing Super Rod,40-55,15%,15%,15%
Route 213,N/A,absol,True,True,False,Swarm,20,40%,40%,40%
Route 213,N/A,swellow,True,True,False,Poké Radar,20-22,22%,22%,22%
Route 213,N/A,swellow,False,False,True,Poké Radar,21-25,22%,22%,22%
Route 214,N/A,zubat,False,False,True,Grass,22,0%,0%,10%
Route 214,N/A,geodude,True,True,False,Grass,22,20%,20%,20%
Route 214,N/A,geodude,False,False,True,Grass,21,20%,20%,20%
Route 214,N/A,graveler,True,True,False,Grass,24,5%,5%,5%
Route 214,N/A,graveler,True,True,False,Grass,23,10%,10%,0%
Route 214,N/A,graveler,False,False,True,Grass,23-24,25%,25%,25%
Route 214,N/A,graveler,False,False,True,Grass,22,10%,10%,0%
Route 214,N/A,ponyta,True,True,False,Grass,23-24,35%,35%,25%
Route 214,N/A,rhyhorn,False,False,True,Grass,"21, 23, 24",20%,20%,20%
Route 214,N/A,rhyhorn,False,False,True,Grass,23,10%,10%,0%
Route 214,N/A,sudowoodo,False,True,False,Grass,23-24,15%,15%,15%
Route 214,N/A,girafarig,True,True,False,Grass,24,10%,10%,10%
Route 214,N/A,houndour,False,False,True,Grass,23-24,15%,15%,15%
Route 214,N/A,houndour,False,False,True,Grass,22,0%,0%,10%
Route 214,N/A,kricketune,True,True,False,Grass,24,5%,5%,5%
Route 214,N/A,kricketune,True,True,False,Grass,23,0%,0%,20%
Route 214,N/A,stunky,True,False,False,Grass,23-24,15%,15%,15%
Route 214,N/A,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Route 214,N/A,psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Route 214,N/A,golduck,True,True,True,Surfing,20-40,10%,10%,10%
Route 214,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 214,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 214,N/A,goldeen,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Route 214,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 214,N/A,seaking,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 214,N/A,seaking,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 214,N/A,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 214,N/A,spoink,True,True,False,Swarm,22-23,40%,40%,40%
Route 214,N/A,spoink,False,False,True,Swarm,"21, 23",40%,40%,40%
Route 214,N/A,vulpix,True,True,True,Dual-slot LeafGreen,24,8%,8%,8%
Route 214,N/A,gligar,True,True,False,Dual-slot Emerald,24,8%,8%,8%
Route 214,N/A,houndoom,False,True,False,Poké Radar,23-24,22%,22%,22%
Route 214,N/A,poochyena,False,False,True,Poké Radar,23-24,22%,22%,22%
Route 214,N/A,mightyena,True,False,False,Poké Radar,23-24,22%,22%,22%
Route 215,N/A,abra,True,True,True,Grass,19-20,10%,10%,10%
Route 215,N/A,kadabra,True,True,False,Grass,20-22,15%,15%,15%
Route 215,N/A,kadabra,False,False,True,Grass,21-22,10%,10%,10%
Route 215,N/A,geodude,True,True,False,Grass,20-22,35%,25%,25%
Route 215,N/A,ponyta,True,True,False,Grass,21-22,30%,40%,20%
Route 215,N/A,lickitung,False,False,True,Grass,20,10%,10%,10%
Route 215,N/A,scyther,False,False,True,Grass,20-22,15%,5%,5%
Route 215,N/A,marill,False,False,True,Grass,20-22,25%,25%,45%
Route 215,N/A,staravia,False,False,True,Grass,19-22,30%,40%,20%
Route 215,N/A,kricketune,True,True,False,Grass,20-22,10%,10%,30%
Route 215,N/A,drowzee,True,True,True,Swarm,20-22,40%,40%,40%
Route 215,N/A,gligar,True,True,False,Dual-slot Emerald,22,8%,8%,8%
Route 215,N/A,houndoom,False,True,False,Poké Radar,"20, 22",22%,22%,22%
Route 215,N/A,mightyena,True,False,False,Poké Radar,"20, 22",22%,22%,22%
Route 216,N/A,zubat,True,True,False,Grass,33,0%,0%,10%
Route 216,N/A,zubat,False,False,True,Grass,32,0%,0%,10%
Route 216,N/A,machoke,True,True,False,Grass,33-34,20%,20%,10%
Route 216,N/A,graveler,True,True,False,Grass,33-34,10%,10%,10%
Route 216,N/A,graveler,False,False,True,Grass,35,5%,5%,5%
Route 216,N/A,noctowl,True,True,False,Grass,33,0%,0%,10%
Route 216,N/A,sneasel,True,True,False,Grass,32-34,25%,25%,25%
Route 216,N/A,sneasel,False,False,True,Grass,33-35,35%,35%,35%
Route 216,N/A,meditite,True,True,False,Grass,33-34,20%,20%,10%
Route 216,N/A,meditite,False,False,True,Grass,32-33,20%,20%,10%
Route 216,N/A,snorunt,False,False,True,Grass,33,0%,0%,10%
Route 216,N/A,snover,True,True,False,Grass,32-33,25%,25%,25%
Route 216,N/A,snover,False,False,True,Grass,32-35,40%,40%,30%
Route 216,N/A,delibird,True,True,False,Swarm,32,40%,40%,40%
Route 216,N/A,ursaring,True,True,False,Dual-slot Emerald,33-34,8%,8%,8%
Route 216,N/A,ursaring,False,False,True,Dual-slot Emerald,35,8%,8%,8%
Route 216,N/A,snorunt,True,True,False,Poké Radar,35-36,22%,22%,22%
Route 217,N/A,zubat,True,True,False,Grass,35,0%,0%,10%
Route 217,N/A,machoke,True,True,False,Grass,35-36,20%,20%,10%
Route 217,N/A,noctowl,True,True,False,Grass,35,0%,0%,10%
Route 217,N/A,sneasel,True,True,False,Grass,34-35,25%,25%,25%
Route 217,N/A,sneasel,False,False,True,Grass,33-35,25%,25%,15%
Route 217,N/A,swinub,False,False,True,Grass,32-34,35%,35%,35%
Route 217,N/A,meditite,True,True,False,Grass,35,10%,10%,0%
Route 217,N/A,medicham,True,True,False,Grass,35-36,20%,20%,20%
Route 217,N/A,snorunt,False,False,True,Grass,32-33,0%,0%,20%
Route 217,N/A,snover,True,True,False,Grass,34-35,25%,25%,25%
Route 217,N/A,snover,False,False,True,Grass,32-35,40%,40%,30%
Route 217,N/A,swinub,True,True,False,Swarm,34,40%,40%,40%
Route 217,N/A,delibird,False,False,True,Swarm,32-33,40%,40%,40%
Route 217,N/A,ursaring,True,True,False,Dual-slot Emerald,35,8%,8%,8%
Route 217,N/A,ursaring,False,False,True,Dual-slot Emerald,36,8%,8%,8%
Route 217,N/A,piloswine,False,False,True,Poké Radar,34-35,22%,22%,22%
Route 217,N/A,snorunt,True,True,False,Poké Radar,35-36,22%,22%,22%
Route 218,N/A,mr_mime,True,False,False,Grass,29-30,15%,15%,15%
Route 218,N/A,mr_mime,False,False,True,Grass,29-31,25%,25%,25%
Route 218,N/A,wingull,True,True,False,Grass,29,10%,10%,10%
Route 218,N/A,floatzel,True,True,False,Grass,28-30,35%,35%,35%
Route 218,N/A,floatzel,False,False,True,Grass,29-31,30%,30%,40%
Route 218,N/A,shellos_west sea,True,True,False,Grass,28,20%,20%,20%
Route 218,N/A,gastrodon_west sea,True,True,False,Grass,28-30,20%,20%,20%
Route 218,N/A,gastrodon_west sea,False,False,True,Grass,"28, 30",25%,25%,35%
Route 218,N/A,glameow,False,True,False,Grass,29-30,15%,15%,15%
Route 218,N/A,chatot,False,False,True,Grass,28-30,20%,20%,0%
Route 218,N/A,tentacool,True,True,True,Surfing,20-30,60%,60%,60%
Route 218,N/A,tentacruel,True,True,False,Surfing,20-40,5%,5%,5%
Route 218,N/A,tentacruel,False,False,True,Surfing,20-40,9%,9%,9%
Route 218,N/A,wingull,True,True,False,Surfing,20-30,30%,30%,30%
Route 218,N/A,pelipper,True,True,False,Surfing,20-40,5%,5%,5%
Route 218,N/A,shellos_west sea,False,False,True,Surfing,20-30,30%,30%,30%
Route 218,N/A,gastrodon_west sea,False,False,True,Surfing,20-40,1%,1%,1%
Route 218,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 218,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 218,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 218,N/A,finneon,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Route 218,N/A,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 218,N/A,lumineon,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 218,N/A,lumineon,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 218,N/A,voltorb,True,True,False,Swarm,28,40%,40%,40%
Route 218,N/A,voltorb,False,False,True,Swarm,28-29,40%,40%,40%
Route 218,N/A,ditto,True,True,False,Poké Radar,29-30,22%,22%,22%
Route 219,N/A,tentacool,True,True,True,Surfing,20-30,60%,60%,60%
Route 219,N/A,tentacruel,True,True,False,Surfing,20-40,5%,5%,5%
Route 219,N/A,tentacruel,False,False,True,Surfing,20-40,9%,9%,9%
Route 219,N/A,wingull,True,True,True,Surfing,20-30,30%,30%,30%
Route 219,N/A,pelipper,True,True,False,Surfing,20-40,5%,5%,5%
Route 219,N/A,pelipper,False,False,True,Surfing,20-40,1%,1%,1%
Route 219,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 219,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 219,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 219,N/A,finneon,True,True,False,Fishing Good Rod,10-25,45%,45%,45%
Route 219,N/A,finneon,False,False,True,Fishing Good Rod,15-20,40%,40%,40%
Route 219,N/A,lumineon,False,False,True,Fishing Good Rod,25-35,5%,5%,5%
Route 219,N/A,gyarados,True,True,False,Fishing Super Rod,30-40,40%,40%,40%
Route 219,N/A,gyarados,False,False,True,Fishing Super Rod,30-55,55%,55%,55%
Route 219,N/A,clamperl,True,True,False,Fishing Super Rod,20-30,15%,15%,15%
Route 219,N/A,lumineon,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 219,N/A,lumineon,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 220,N/A,tentacool,True,True,True,Surfing,20-30,60%,60%,60%
Route 220,N/A,tentacruel,True,True,False,Surfing,20-40,5%,5%,5%
Route 220,N/A,tentacruel,False,False,True,Surfing,20-40,9%,9%,9%
Route 220,N/A,wingull,True,True,True,Surfing,20-30,30%,30%,30%
Route 220,N/A,pelipper,True,True,False,Surfing,20-40,5%,5%,5%
Route 220,N/A,pelipper,False,False,True,Surfing,20-40,1%,1%,1%
Route 220,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 220,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 220,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 220,N/A,finneon,True,True,False,Fishing Good Rod,10-25,45%,45%,45%
Route 220,N/A,finneon,False,False,True,Fishing Good Rod,15-20,40%,40%,40%
Route 220,N/A,lumineon,False,False,True,Fishing Good Rod,25-35,5%,5%,5%
Route 220,N/A,gyarados,True,True,False,Fishing Super Rod,30-40,40%,40%,40%
Route 220,N/A,gyarados,False,False,True,Fishing Super Rod,30-55,40%,40%,40%
Route 220,N/A,chinchou,True,True,False,Fishing Super Rod,15-25,40%,40%,40%
Route 220,N/A,chinchou,False,False,True,Fishing Super Rod,20-50,15%,15%,15%
Route 220,N/A,lanturn,True,True,False,Fishing Super Rod,20-45,5%,5%,5%
Route 220,N/A,lumineon,True,True,False,Fishing Super Rod,30-40,15%,15%,15%
Route 220,N/A,lumineon,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
