Location,Sub-location,Pokemon,G,S,C,Method,Levels,Morning Rate,Day Rate,Night Rate
Ilex Forest,N/A,poliwag,True,True,True,Fishing Good Rod,20,65%,65%,65%
Ilex Forest,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Ilex Forest,N/A,poliwag,True,True,True,Fishing Super Rod,40,80%,80%,80%
Ilex Forest,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Ilex Forest,N/A,caterpie,True,False,False,Headbutt,10,65%,65%,65%
Ilex Forest,N/A,metapod,True,False,False,Headbutt,10,15%,15%,15%
Ilex Forest,N/A,butterfree,True,False,True,Headbutt,10,5%,5%,5%
Ilex Forest,N/A,weedle,False,True,False,Headbutt,10,65%,65%,65%
Ilex Forest,N/A,kakuna,False,True,False,Headbutt,10,15%,15%,15%
Ilex Forest,N/A,beedrill,False,True,True,Headbutt,10,5%,5%,5%
Ilex Forest,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Ilex Forest,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Ilex Forest,N/A,noctowl,False,False,True,Headbutt,10,10%,10%,10%
Ilex Forest,N/A,pineco,False,False,True,Headbutt,10,30%,30%,30%
Ilex Forest,N/A,caterpie,True,False,False,Headbutt,10,50%,50%,50%
Ilex Forest,N/A,caterpie,False,False,True,Headbutt,10,15%,15%,15%
Ilex Forest,N/A,metapod,False,False,True,Headbutt,10,5%,5%,5%
Ilex Forest,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Ilex Forest,N/A,weedle,False,True,False,Headbutt,10,50%,50%,50%
Ilex Forest,N/A,weedle,False,False,True,Headbutt,10,15%,15%,15%
Ilex Forest,N/A,kakuna,False,False,True,Headbutt,10,5%,5%,5%
Ilex Forest,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Ilex Forest,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Ilex Forest,N/A,hoothoot,False,False,True,Headbutt,10,60%,60%,60%
Ilex Forest,N/A,pineco,True,True,False,Headbutt,10,30%,30%,30%
Ilex Forest,N/A,celebi,False,False,True,Event GS Ball,30,One,One,One
Route 34,N/A,pidgey,False,False,True,Grass,12,20%,20%,0%
Route 34,N/A,rattata,True,True,False,Grass,11-13,35%,35%,35%
Route 34,N/A,rattata,False,False,True,Grass,11,30%,30%,30%
Route 34,N/A,jigglypuff,False,False,True,Grass,12,5%,5%,5%
Route 34,N/A,abra,True,True,True,Grass,10,10%,10%,10%
Route 34,N/A,drowzee,True,True,False,Grass,10-12,50%,50%,50%
Route 34,N/A,drowzee,False,False,True,Grass,12,0%,0%,30%
Route 34,N/A,ditto,True,True,True,Grass,10,5%,5%,5%
Route 34,N/A,hoothoot,False,False,True,Grass,12,0%,0%,20%
Route 34,N/A,snubbull,False,False,True,Grass,10,30%,30%,0%
Route 34,N/A,tentacool,True,True,True,Surfing,15-24,90%,90%,90%
Route 34,N/A,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
Route 34,N/A,krabby,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 34,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 34,N/A,krabby,True,True,True,Fishing Good Rod,20,55%,55%,55%
Route 34,N/A,staryu,True,True,True,Fishing Good Rod,20,0%,0%,10%
Route 34,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 34,N/A,corsola,True,True,True,Fishing Good Rod,20,10%,10%,0%
Route 34,N/A,krabby,True,True,True,Fishing Super Rod,40,60%,60%,60%
Route 34,N/A,kingler,True,True,True,Fishing Super Rod,40,10%,10%,10%
Route 34,N/A,staryu,True,True,True,Fishing Super Rod,40,0%,0%,30%
Route 34,N/A,corsola,True,True,True,Fishing Super Rod,40,30%,30%,0%
Route 34,N/A,caterpie,True,False,False,Headbutt,10,65%,65%,65%
Route 34,N/A,metapod,True,False,False,Headbutt,10,15%,15%,15%
Route 34,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 34,N/A,weedle,False,True,False,Headbutt,10,65%,65%,65%
Route 34,N/A,kakuna,False,True,False,Headbutt,10,15%,15%,15%
Route 34,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 34,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 34,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 34,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 34,N/A,ledyba,False,False,True,Headbutt,10,15%,15%,15%
Route 34,N/A,spinarak,False,False,True,Headbutt,10,15%,15%,15%
Route 34,N/A,caterpie,True,False,False,Headbutt,10,50%,50%,50%
Route 34,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 34,N/A,weedle,False,True,False,Headbutt,10,50%,50%,50%
Route 34,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 34,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 34,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 34,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 34,N/A,pineco,True,True,True,Headbutt,10,30%,30%,30%
Route 34,N/A,pichu,False,False,True,Egg,5,One,One,One
Route 34,N/A,cleffa,False,False,True,Egg,5,One,One,One
Route 34,N/A,igglybuff,False,False,True,Egg,5,One,One,One
Route 34,N/A,tyrogue,False,False,True,Egg,5,One,One,One
Route 34,N/A,smoochum,False,False,True,Egg,5,One,One,One
Route 34,N/A,elekid,False,False,True,Egg,5,One,One,One
Route 34,N/A,magby,False,False,True,Egg,5,One,One,One
Goldenrod City,N/A,eevee,True,True,True,Gift,20,One,One,One
Route 35,N/A,pidgey,True,True,False,Grass,14,5%,5%,0%
Route 35,N/A,pidgey,False,False,True,Grass,14,30%,30%,0%
Route 35,N/A,nidoran_f,True,True,False,Grass,12,30%,30%,30%
Route 35,N/A,nidoran_m,True,True,False,Grass,12,30%,30%,30%
Route 35,N/A,jigglypuff,False,False,True,Grass,12,5%,5%,5%
Route 35,N/A,psyduck,False,False,True,Grass,13,0%,0%,20%
Route 35,N/A,growlithe,False,False,True,Grass,13,20%,20%,0%
Route 35,N/A,abra,True,True,True,Grass,10,10%,10%,10%
Route 35,N/A,drowzee,True,True,False,Grass,14,20%,20%,20%
Route 35,N/A,drowzee,False,False,True,Grass,12,0%,0%,30%
Route 35,N/A,ditto,True,True,True,Grass,10,4%,4%,4%
Route 35,N/A,hoothoot,True,True,False,Grass,14,0%,0%,5%
Route 35,N/A,hoothoot,False,False,True,Grass,14,0%,0%,30%
Route 35,N/A,yanma,True,True,True,Grass,12,1%,1%,1%
Route 35,N/A,snubbull,False,False,True,Grass,12,30%,30%,0%
Route 35,N/A,psyduck,True,True,True,Surfing,15-24,90%,90%,90%
Route 35,N/A,golduck,True,True,True,Surfing,20-24,10%,10%,10%
Route 35,N/A,poliwag,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 35,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 35,N/A,poliwag,True,True,True,Fishing Good Rod,20,65%,65%,65%
Route 35,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 35,N/A,poliwag,True,True,True,Fishing Super Rod,40,80%,80%,80%
Route 35,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Route 35,N/A,caterpie,True,False,False,Headbutt,10,65%,65%,65%
Route 35,N/A,metapod,True,False,False,Headbutt,10,15%,15%,15%
Route 35,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 35,N/A,weedle,False,True,False,Headbutt,10,65%,65%,65%
Route 35,N/A,kakuna,False,True,False,Headbutt,10,15%,15%,15%
Route 35,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 35,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 35,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 35,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 35,N/A,ledyba,False,False,True,Headbutt,10,15%,15%,15%
Route 35,N/A,spinarak,False,False,True,Headbutt,10,15%,15%,15%
Route 35,N/A,caterpie,True,False,False,Headbutt,10,50%,50%,50%
Route 35,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 35,N/A,weedle,False,True,False,Headbutt,10,50%,50%,50%
Route 35,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 35,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 35,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 35,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 35,N/A,pineco,True,True,True,Headbutt,10,30%,30%,30%
Route 35,N/A,pidgey,True,True,True,Swarm,14,5%,5%,0%
Route 35,N/A,nidoran_f,True,True,True,Swarm,12,30%,30%,30%
Route 35,N/A,nidoran_m,True,True,True,Swarm,12,30%,30%,30%
Route 35,N/A,ditto,True,True,True,Swarm,10,5%,5%,5%
Route 35,N/A,hoothoot,True,True,True,Swarm,14,0%,0%,5%
Route 35,N/A,yanma,True,True,True,Swarm,12-14,30%,30%,30%
Route 35,N/A,spearow,True,True,True,Gift,10,One,One,One
National Park,N/A,caterpie,True,False,False,Grass,10-12,50%,0%,0%
National Park,N/A,caterpie,True,False,False,Grass,10,0%,30%,0%
National Park,N/A,caterpie,False,False,True,Grass,10,5%,5%,0%
National Park,N/A,metapod,True,False,False,Grass,10,30%,30%,0%
National Park,N/A,weedle,False,True,False,Grass,10-12,50%,0%,0%
National Park,N/A,weedle,False,True,False,Grass,10,0%,30%,0%
National Park,N/A,weedle,False,False,True,Grass,10,5%,5%,0%
National Park,N/A,kakuna,False,True,False,Grass,10,30%,30%,0%
National Park,N/A,pidgey,True,True,False,Grass,10-14,20%,0%,0%
National Park,N/A,pidgey,True,True,False,Grass,12-14,0%,15%,0%
National Park,N/A,pidgey,False,False,True,Grass,13,10%,10%,0%
National Park,N/A,nidoran_f,False,False,True,Grass,12,30%,30%,0%
National Park,N/A,nidoran_m,False,False,True,Grass,12,30%,30%,0%
National Park,N/A,venonat,False,False,True,Grass,10-12,0%,0%,10%
National Park,N/A,psyduck,False,False,True,Grass,12,0%,0%,30%
National Park,N/A,hoothoot,True,True,False,Grass,10-14,0%,0%,100%
National Park,N/A,hoothoot,False,False,True,Grass,13-15,0%,0%,40%
National Park,N/A,ledyba,False,False,True,Grass,14,20%,0%,0%
National Park,N/A,spinarak,False,False,True,Grass,14,0%,0%,20%
National Park,N/A,sunkern,True,True,False,Grass,11-13,0%,25%,0%
National Park,N/A,sunkern,False,False,True,Grass,14,0%,20%,0%
National Park,N/A,caterpie,True,True,True,Grass,7-18,20%,20%,20%
National Park,N/A,metapod,True,True,True,Grass,9-18,10%,10%,10%
National Park,N/A,butterfree,True,True,True,Grass,12-15,5%,5%,5%
National Park,N/A,weedle,True,True,True,Grass,7-18,20%,20%,20%
National Park,N/A,kakuna,True,True,True,Grass,9-18,10%,10%,10%
National Park,N/A,beedrill,True,True,True,Grass,12-15,5%,5%,5%
National Park,N/A,paras,True,True,True,Grass,10-17,10%,10%,10%
National Park,N/A,venonat,True,True,True,Grass,10-16,10%,10%,10%
National Park,N/A,scyther,True,True,True,Grass,13-14,5%,5%,5%
National Park,N/A,pinsir,True,True,True,Grass,13-14,5%,5%,5%
National Park,N/A,krabby,True,True,True,Fishing Super Rod,40,100%,100%,100%
Route 36,N/A,pidgey,True,True,False,Grass,13-15,25%,20%,0%
Route 36,N/A,pidgey,False,False,True,Grass,4-6,40%,70%,0%
Route 36,N/A,nidoran_f,True,True,False,Grass,12,30%,30%,30%
Route 36,N/A,nidoran_m,True,True,False,Grass,12,30%,30%,30%
Route 36,N/A,vulpix,False,True,False,Grass,13,10%,15%,10%
Route 36,N/A,growlithe,True,False,False,Grass,13,10%,15%,10%
Route 36,N/A,growlithe,False,False,True,Grass,5,10%,10%,0%
Route 36,N/A,bellsprout,False,False,True,Grass,5,20%,20%,20%
Route 36,N/A,gastly,False,False,True,Grass,5,0%,0%,5%
Route 36,N/A,hoothoot,True,True,False,Grass,13-15,0%,0%,25%
Route 36,N/A,hoothoot,False,False,True,Grass,4-5,0%,0%,45%
Route 36,N/A,ledyba,False,False,True,Grass,4,30%,0%,0%
Route 36,N/A,spinarak,False,False,True,Grass,4,0%,0%,30%
Route 36,N/A,stantler,True,True,False,Grass,13,5%,5%,5%
Route 36,N/A,caterpie,True,False,False,Headbutt,10,65%,65%,65%
Route 36,N/A,metapod,True,False,False,Headbutt,10,15%,15%,15%
Route 36,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 36,N/A,weedle,False,True,False,Headbutt,10,65%,65%,65%
Route 36,N/A,kakuna,False,True,False,Headbutt,10,15%,15%,15%
Route 36,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 36,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 36,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 36,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 36,N/A,ledyba,False,False,True,Headbutt,10,15%,15%,15%
Route 36,N/A,spinarak,False,False,True,Headbutt,10,15%,15%,15%
Route 36,N/A,caterpie,True,False,False,Headbutt,10,50%,50%,50%
Route 36,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 36,N/A,weedle,False,True,False,Headbutt,10,50%,50%,50%
Route 36,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 36,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 36,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 36,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 36,N/A,pineco,True,True,True,Headbutt,10,30%,30%,30%
Route 36,N/A,sudowoodo,True,True,True,Only one,20,One,One,One
Route 37,N/A,pidgey,True,False,False,Grass,13-15,60%,50%,0%
Route 37,N/A,pidgey,False,True,False,Grass,13-15,20%,50%,0%
Route 37,N/A,pidgey,False,False,True,Grass,15,20%,0%,0%
Route 37,N/A,pidgey,False,False,True,Grass,13-15,0%,55%,0%
Route 37,N/A,pidgeotto,True,True,False,Grass,15,0%,5%,0%
Route 37,N/A,pidgeotto,False,False,True,Grass,15,5%,5%,0%
Route 37,N/A,vulpix,False,True,False,Grass,14,10%,0%,10%
Route 37,N/A,vulpix,False,True,False,Grass,14-16,0%,15%,0%
Route 37,N/A,growlithe,True,False,False,Grass,14,10%,0%,10%
Route 37,N/A,growlithe,True,False,False,Grass,14-16,0%,15%,0%
Route 37,N/A,growlithe,False,False,True,Grass,16,40%,40%,0%
Route 37,N/A,hoothoot,True,False,True,Grass,15,0%,0%,20%
Route 37,N/A,hoothoot,False,True,False,Grass,13-15,0%,0%,60%
Route 37,N/A,noctowl,False,False,True,Grass,15,0%,0%,5%
Route 37,N/A,ledyba,False,True,False,Grass,13-15,40%,0%,0%
Route 37,N/A,ledyba,False,False,True,Grass,13,30%,0%,0%
Route 37,N/A,ledian,False,False,True,Grass,15,5%,0%,0%
Route 37,N/A,spinarak,True,False,False,Grass,13-15,0%,0%,40%
Route 37,N/A,spinarak,False,False,True,Grass,13,0%,0%,30%
Route 37,N/A,ariados,False,False,True,Grass,15,0%,0%,5%
Route 37,N/A,stantler,True,True,False,Grass,15,30%,30%,30%
Route 37,N/A,stantler,False,False,True,Grass,14-16,0%,0%,40%
Route 37,N/A,caterpie,True,False,False,Headbutt,10,65%,65%,65%
Route 37,N/A,metapod,True,False,False,Headbutt,10,15%,15%,15%
Route 37,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 37,N/A,weedle,False,True,False,Headbutt,10,65%,65%,65%
Route 37,N/A,kakuna,False,True,False,Headbutt,10,15%,15%,15%
Route 37,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 37,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 37,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 37,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 37,N/A,ledyba,False,False,True,Headbutt,10,15%,15%,15%
Route 37,N/A,spinarak,False,False,True,Headbutt,10,15%,15%,15%
Route 37,N/A,caterpie,True,False,False,Headbutt,10,50%,50%,50%
Route 37,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 37,N/A,weedle,False,True,False,Headbutt,10,50%,50%,50%
Route 37,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 37,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 37,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 37,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 37,N/A,pineco,True,True,True,Headbutt,10,30%,30%,30%
Ecruteak City,N/A,poliwag,True,True,True,Surfing,15-24,90%,90%,90%
Ecruteak City,N/A,poliwhirl,True,True,True,Surfing,20-24,10%,10%,10%
Ecruteak City,N/A,poliwag,True,True,True,Fishing Old Rod,10,15%,15%,15%
Ecruteak City,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Ecruteak City,N/A,poliwag,True,True,True,Fishing Good Rod,20,65%,65%,65%
Ecruteak City,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Ecruteak City,N/A,poliwag,True,True,True,Fishing Super Rod,40,80%,80%,80%
Ecruteak City,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Tin Tower,N/A,rattata,True,True,True,2F-9F,20-24,100%,100%,0%
Tin Tower,N/A,rattata,True,True,True,2F-9F,22-24,0%,0%,20%
Tin Tower,N/A,gastly,True,True,True,2F-9F,20-22,0%,0%,80%
Tin Tower,N/A,suicune,False,False,True,Only one,40,One,One,One
Tin Tower,N/A,ho_oh,True,False,False,Only one,40,One,One,One
Tin Tower,N/A,ho_oh,False,True,False,Only one,70,One,One,One
Tin Tower,N/A,ho_oh,False,False,True,Only one,60,One,One,One
Burned Tower,1F,rattata,True,True,False,1F,13-15,50%,50%,50%
Burned Tower,1F,rattata,False,False,True,1F,13-15,55%,55%,55%
Burned Tower,1F,raticate,True,True,True,1F,15,5%,5%,5%
Burned Tower,1F,zubat,True,True,True,1F,14,10%,10%,10%
Burned Tower,1F,koffing,True,True,False,1F,14-16,35%,35%,35%
Burned Tower,1F,koffing,False,False,True,1F,14,30%,30%,30%
Burned Tower,1F,krabby,True,True,False,Rock Smash,15,90%,90%,90%
Burned Tower,1F,shuckle,True,True,False,Rock Smash,15,10%,10%,10%
Burned Tower,B1F,rattata,True,True,False,B1F,14-16,40%,35%,40%
Burned Tower,B1F,rattata,False,False,True,B1F,14,30%,30%,30%
Burned Tower,B1F,zubat,True,True,False,B1F,15,5%,5%,5%
Burned Tower,B1F,zubat,False,False,True,B1F,15,10%,10%,10%
Burned Tower,B1F,koffing,True,True,False,B1F,14-16,50%,50%,50%
Burned Tower,B1F,koffing,False,False,True,B1F,12-16,59%,59%,59%
Burned Tower,B1F,weezing,False,False,True,B1F,16,1%,1%,1%
Burned Tower,B1F,magmar,True,True,False,B1F,14,5%,0%,5%
Burned Tower,B1F,magmar,True,True,False,B1F,16,0%,10%,0%
Route 38,N/A,pidgeotto,False,False,True,Grass,16,10%,10%,0%
Route 38,N/A,rattata,True,False,False,Grass,16,30%,30%,40%
Route 38,N/A,rattata,False,False,True,Grass,16,30%,30%,0%
Route 38,N/A,raticate,True,True,True,Grass,16,30%,30%,30%
Route 38,N/A,meowth,False,True,False,Grass,16,30%,30%,40%
Route 38,N/A,meowth,False,False,True,Grass,16,0%,0%,40%
Route 38,N/A,magnemite,True,True,True,Grass,16,20%,20%,20%
Route 38,N/A,farfetchd,True,True,False,Grass,16,10%,10%,0%
Route 38,N/A,tauros,True,True,False,Grass,13,4%,4%,4%
Route 38,N/A,tauros,False,False,True,Grass,13,5%,5%,0%
Route 38,N/A,noctowl,False,False,True,Grass,16,0%,0%,10%
Route 38,N/A,snubbull,True,True,False,Grass,13,1%,1%,1%
Route 38,N/A,miltank,True,True,False,Grass,13,5%,5%,5%
Route 38,N/A,miltank,False,False,True,Grass,13,5%,5%,0%
Route 38,N/A,caterpie,True,False,False,Headbutt,10,65%,65%,65%
Route 38,N/A,metapod,True,False,False,Headbutt,10,15%,15%,15%
Route 38,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 38,N/A,weedle,False,True,False,Headbutt,10,65%,65%,65%
Route 38,N/A,kakuna,False,True,False,Headbutt,10,15%,15%,15%
Route 38,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 38,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 38,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 38,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 38,N/A,ledyba,False,False,True,Headbutt,10,15%,15%,15%
Route 38,N/A,spinarak,False,False,True,Headbutt,10,15%,15%,15%
Route 38,N/A,caterpie,True,False,False,Headbutt,10,50%,50%,50%
Route 38,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 38,N/A,weedle,False,True,False,Headbutt,10,50%,50%,50%
Route 38,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 38,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 38,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 38,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 38,N/A,pineco,True,True,True,Headbutt,10,30%,30%,30%
Route 38,N/A,rattata,True,False,False,Swarm,16,0%,0%,10%
Route 38,N/A,raticate,True,False,False,Swarm,16,30%,30%,30%
Route 38,N/A,meowth,False,True,False,Swarm,16,30%,30%,40%
Route 38,N/A,magnemite,True,True,False,Swarm,16,20%,20%,20%
Route 38,N/A,farfetchd,True,True,False,Swarm,16,10%,10%,0%
Route 38,N/A,tauros,True,True,False,Swarm,13,5%,5%,5%
Route 38,N/A,snubbull,True,True,False,Swarm,16,30%,30%,30%
Route 38,N/A,miltank,True,True,False,Swarm,13,5%,5%,5%
Route 39,N/A,pidgeotto,False,False,True,Grass,16,10%,10%,0%
Route 39,N/A,rattata,True,False,False,Grass,16,30%,30%,40%
Route 39,N/A,rattata,False,False,True,Grass,16,30%,30%,0%
Route 39,N/A,raticate,True,True,False,Grass,17,30%,30%,30%
Route 39,N/A,raticate,False,False,True,Grass,16,30%,30%,30%
Route 39,N/A,meowth,False,True,False,Grass,16,30%,30%,40%
Route 39,N/A,meowth,False,False,True,Grass,16,0%,0%,40%
Route 39,N/A,magnemite,True,True,True,Grass,16,20%,20%,20%
Route 39,N/A,farfetchd,True,True,False,Grass,16,10%,10%,0%
Route 39,N/A,tauros,True,True,False,Grass,15,5%,5%,5%
Route 39,N/A,tauros,False,False,True,Grass,15,5%,5%,0%
Route 39,N/A,noctowl,False,False,True,Grass,16,0%,0%,10%
Route 39,N/A,miltank,True,True,False,Grass,15,5%,5%,5%
Route 39,N/A,miltank,False,False,True,Grass,15,5%,5%,0%
Route 39,N/A,caterpie,True,False,False,Headbutt,10,65%,65%,65%
Route 39,N/A,metapod,True,False,False,Headbutt,10,15%,15%,15%
Route 39,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 39,N/A,weedle,False,True,False,Headbutt,10,65%,65%,65%
Route 39,N/A,kakuna,False,True,False,Headbutt,10,15%,15%,15%
Route 39,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 39,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 39,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 39,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 39,N/A,ledyba,False,False,True,Headbutt,10,15%,15%,15%
Route 39,N/A,spinarak,False,False,True,Headbutt,10,15%,15%,15%
Route 39,N/A,caterpie,True,False,False,Headbutt,10,50%,50%,50%
Route 39,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Route 39,N/A,weedle,False,True,False,Headbutt,10,50%,50%,50%
Route 39,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Route 39,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Route 39,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 39,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 39,N/A,pineco,True,True,True,Headbutt,10,30%,30%,30%
Olivine City,N/A,tentacool,True,True,True,Surfing,15-24,90%,90%,90%
Olivine City,N/A,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
Olivine City,N/A,krabby,True,True,True,Fishing Old Rod,10,15%,15%,15%
Olivine City,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Olivine City,N/A,krabby,True,True,True,Fishing Good Rod,20,55%,55%,55%
Olivine City,N/A,staryu,True,True,True,Fishing Good Rod,20,0%,0%,10%
Olivine City,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Olivine City,N/A,corsola,True,True,True,Fishing Good Rod,20,10%,10%,0%
Olivine City,N/A,krabby,True,True,True,Fishing Super Rod,40,60%,60%,60%
Olivine City,N/A,kingler,True,True,True,Fishing Super Rod,40,10%,10%,10%
Olivine City,N/A,staryu,True,True,True,Fishing Super Rod,40,0%,0%,30%
Olivine City,N/A,corsola,True,True,True,Fishing Super Rod,40,30%,30%,0%
Olivine City,N/A,voltorb,True,True,True,Trade Krabby,The same as the Traded Pokémon,One,One,One
Olivine City,Harbor,tentacool,True,True,True,Surfing,15-24,90%,90%,90%
Olivine City,Harbor,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
Olivine City,Harbor,tentacool,True,True,True,Fishing Old Rod,10,15%,15%,15%
Olivine City,Harbor,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Olivine City,Harbor,tentacool,True,True,True,Fishing Good Rod,20,35%,35%,35%
Olivine City,Harbor,shellder,True,True,True,Fishing Good Rod,20,10%,10%,10%
Olivine City,Harbor,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Olivine City,Harbor,chinchou,True,True,True,Fishing Good Rod,20,20%,20%,20%
Olivine City,Harbor,tentacruel,True,True,True,Fishing Super Rod,40,20%,20%,20%
Olivine City,Harbor,shellder,True,True,True,Fishing Super Rod,40,30%,30%,30%
Olivine City,Harbor,chinchou,True,True,True,Fishing Super Rod,40,40%,40%,40%
Olivine City,Harbor,lanturn,True,True,True,Fishing Super Rod,40,10%,10%,10%
Route 40,N/A,tentacool,True,True,True,Surfing,15-24,90%,90%,90%
Route 40,N/A,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
Route 40,N/A,krabby,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 40,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 40,N/A,krabby,True,True,True,Fishing Good Rod,20,55%,55%,55%
Route 40,N/A,staryu,True,True,True,Fishing Good Rod,20,0%,0%,10%
Route 40,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 40,N/A,corsola,True,True,True,Fishing Good Rod,20,10%,10%,0%
Route 40,N/A,krabby,True,True,True,Fishing Super Rod,40,60%,60%,60%
Route 40,N/A,kingler,True,True,True,Fishing Super Rod,40,10%,10%,10%
Route 40,N/A,staryu,True,True,True,Fishing Super Rod,40,0%,0%,30%
Route 40,N/A,corsola,True,True,True,Fishing Super Rod,40,30%,30%,0%
